game,gameType,number,cardId,md_intensity,json_intensity,md_text,json_text,heatMin,heatMax,relationStage,targetMode,responseMode,interactionType,consentMode,matchRequired,boundaryTags,fallbackPolicy,signalEffects,postAction,schemaVersion,status,exception
真心话,truth,1,PN-TRUTH-001,1,1,看着系统指定的这位异性，说出你今晚最先注意到 TA 的一个细节。,看着系统指定的这位异性，说出你今晚最先注意到 TA 的一个细节。,1,2,notice,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,2,PN-TRUTH-002,1,1,用三个词说说这位异性目前给你的感觉，由 TA 选一个最准确的。,用三个词说说这位异性目前给你的感觉，由 TA 选一个最准确的。,1,2,notice,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,3,PN-TRUTH-003,1,1,你第一眼觉得这位异性是什么性格？现在还这么觉得吗？,你第一眼觉得这位异性是什么性格？现在还这么觉得吗？,1,2,notice,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,4,PN-TRUTH-004,1,1,说一个这位异性今晚做过、但你觉得其他人可能没注意到的小细节。,说一个这位异性今晚做过、但你觉得其他人可能没注意到的小细节。,1,2,notice,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,5,PN-TRUTH-005,1,1,这位异性身上哪一点最容易让别人愿意和 TA 聊天？,这位异性身上哪一点最容易让别人愿意和 TA 聊天？,1,2,notice,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,6,PN-TRUTH-006,1,1,如果只根据今晚的表现，你觉得这位异性属于主动型还是慢热型？让 TA 公布答案。,如果只根据今晚的表现，你觉得这位异性属于主动型还是慢热型？让 TA 公布答案。,1,2,notice,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,7,PN-TRUTH-007,1,1,说一个你觉得很适合这位异性的关键词，并告诉 TA 为什么。,说一个你觉得很适合这位异性的关键词，并告诉 TA 为什么。,1,2,notice,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,8,PN-TRUTH-008,1,1,到目前为止，这位异性哪个瞬间让你印象最深？,到目前为止，这位异性哪个瞬间让你印象最深？,1,2,notice,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,9,PN-TRUTH-009,1,1,如果今晚第一次认识 TA，你觉得 TA 最容易给人留下什么第一印象？,如果今晚第一次认识 TA，你觉得 TA 最容易给人留下什么第一印象？,1,2,notice,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,10,PN-TRUTH-010,1,1,说一个你现在有点好奇、但还不知道的关于 TA 的小问题，然后直接问。,说一个你现在有点好奇、但还不知道的关于 TA 的小问题，然后直接问。,1,2,notice,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,11,PN-TRUTH-011,2,2,如果可以和这位异性单独聊十分钟，你最想和 TA 聊什么？,如果可以和这位异性单独聊十分钟，你最想和 TA 聊什么？,2,3,know,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,12,PN-TRUTH-012,2,2,你觉得这位异性在熟人面前和现在会有什么不一样？让 TA 自己揭晓。,你觉得这位异性在熟人面前和现在会有什么不一样？让 TA 自己揭晓。,2,3,know,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,13,PN-TRUTH-013,2,2,到目前为止，你发现你们两个人有什么共同点？,到目前为止，你发现你们两个人有什么共同点？,2,3,know,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,14,PN-TRUTH-014,2,2,这位异性身上哪一种性格特点是你比较欣赏的？,这位异性身上哪一种性格特点是你比较欣赏的？,2,3,know,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,15,PN-TRUTH-015,2,2,你觉得这位异性属于“越认识越有意思”还是“第一眼就很有存在感”？为什么？,你觉得这位异性属于“越认识越有意思”还是“第一眼就很有存在感”？为什么？,2,3,know,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,16,PN-TRUTH-016,2,2,如果下一轮只能继续了解 TA 一件事，你最想知道什么？,如果下一轮只能继续了解 TA 一件事，你最想知道什么？,2,3,know,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,17,PN-TRUTH-017,2,2,猜猜这位异性在喜欢的人面前会更主动还是更害羞，让 TA 自己回答。,猜猜这位异性在喜欢的人面前会更主动还是更害羞，让 TA 自己回答。,2,3,know,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,18,PN-TRUTH-018,2,2,如果你们两个人一起出去玩，你觉得谁比较可能负责做决定？,如果你们两个人一起出去玩，你觉得谁比较可能负责做决定？,2,3,know,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,19,PN-TRUTH-019,2,2,这位异性有什么地方和你原来以为的不一样？,这位异性有什么地方和你原来以为的不一样？,2,3,know,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,20,PN-TRUTH-020,2,2,如果让 TA 问你一个问题，你最希望 TA 问你什么？,如果让 TA 问你一个问题，你最希望 TA 问你什么？,2,3,know,system-opposite-sex,public,expression,skip-anytime,False,,skip-card,,none,2.3,PASS,
真心话,truth,21,PN-TRUTH-021,3,3,在场异性里，谁是你觉得越聊越有意思的人？说出哪一段对话让你开始改观。,在场异性里，谁是你觉得越聊越有意思的人？说出哪一段对话让你开始改观。,3,4,signal,choose-opposite-sex,public,expression,skip-anytime,False,,skip-card,personal,none,2.3,PASS,
真心话,truth,22,PN-TRUTH-022,3,3,如果现在只能选择一位异性继续聊十分钟，你会选谁？你觉得你们还有什么没聊完？,如果现在只能选择一位异性继续聊十分钟，你会选谁？你觉得你们还有什么没聊完？,3,4,signal,choose-opposite-sex,public,expression,skip-anytime,False,,skip-card,personal,none,2.3,PASS,
真心话,truth,23,PN-TRUTH-023,3,3,在场哪位异性的聊天方式最容易让你继续想聊下去？说出 TA 哪一种回应方式最让你加分。,在场哪位异性的聊天方式最容易让你继续想聊下去？说出 TA 哪一种回应方式最让你加分。,3,4,signal,choose-opposite-sex,public,expression,skip-anytime,False,,skip-card,personal,none,2.3,PASS,
真心话,truth,24,PN-TRUTH-024,3,3,在场异性里，谁和你的第一印象相比“加分最多”？说出改变你判断的那个具体瞬间。,在场异性里，谁和你的第一印象相比“加分最多”？说出改变你判断的那个具体瞬间。,3,4,signal,choose-opposite-sex,public,expression,skip-anytime,False,,skip-card,personal,none,2.3,PASS,
真心话,truth,25,PN-TRUTH-025,3,3,如果下一轮必须和一位异性组成二人队，你最想选谁？你觉得你们会在哪一点配合得最好？,如果下一轮必须和一位异性组成二人队，你最想选谁？你觉得你们会在哪一点配合得最好？,3,4,signal,choose-opposite-sex,public,expression,skip-anytime,False,,skip-card,personal,none,2.3,PASS,
真心话,truth,26,PN-TRUTH-026,3,3,哪位异性今晚有一个瞬间让你突然觉得“这个人挺有意思”？说出那个瞬间。,哪位异性今晚有一个瞬间让你突然觉得“这个人挺有意思”？说出那个瞬间。,3,4,signal,choose-opposite-sex,public,expression,skip-anytime,False,,skip-card,personal,none,2.3,PASS,
真心话,truth,27,PN-TRUTH-027,3,3,在场异性里，你最想知道谁对你的第一印象？先猜一句 TA 当时可能会怎么评价你。,在场异性里，你最想知道谁对你的第一印象？先猜一句 TA 当时可能会怎么评价你。,3,4,signal,choose-opposite-sex,public,expression,skip-anytime,False,,skip-card,personal,none,2.3,PASS,
